words,merged,repub_benshapiro,repub_charliekirk11,repub_danieljhannan,repub_DeAnna4Congress,repub_dineshdsouza,repub_drmartyfox,repub_emfingersscout,repub_erictrump,repub_gopleader,repub_IngrahamAngle,repub_KellyannePolls,repub_lrihendry,repub_meghanmccain,repub_michellemalkin,repub_realdonaldtrump,repub_sarahpalinusa,repub_scrowder,repub_seanhannity,repub_tedcruz,repub_tuckercarlson
return,0.168586278511706,0.1943131031802578,0.0,0.05280946345585129,0.08350033400133601,0.11320541121865625,0.0735456350665588,0.09672115291614276,0.07661074082586379,1.1017462678345176,0.2231644722160232,0.2741979709350151,0.06648494116082707,0.06611133148221605,0.07860399308284861,0.0676544212164265,0.10946907498631638,0.16663889351774705,0.11319900384876612,0.14806040864672784,0.0
crime,0.3838028042713307,0.5181682751473541,0.5285691632750145,0.15842839036755385,0.41750167000668004,0.33961623365596877,0.1470912701331176,0.0,0.07661074082586379,0.05508731339172588,0.5207171018373874,0.0,1.3296988232165414,0.1322226629644321,0.31441597233139446,0.8118530545971179,0.3284072249589491,0.5832361273121146,0.7923930269413629,0.5182114302635475,0.17346053772766695
knows,0.1793471047996872,0.12954206878683852,0.0,0.10561892691170258,0.41750167000668004,0.33961623365596877,0.2206369051996764,0.0,0.22983222247759136,0.16526194017517767,0.2975526296213643,0.06854949273375377,0.26593976464330826,0.1322226629644321,0.0,0.3382721060821325,0.10946907498631638,0.24995834027662056,0.0,0.2220906129700918,0.26019080659150046
released,0.22239040995161213,0.12954206878683852,0.26428458163750723,0.0,0.08350033400133601,0.11320541121865625,0.0735456350665588,0.09672115291614276,0.0,0.33052388035035535,0.14877631481068215,0.4798464491362764,0.39890964696496245,0.1322226629644321,0.23581197924854583,0.20296326364927947,1.3136288998357963,0.0,0.3395970115462984,0.14806040864672784,0.3469210754553339
went,0.1865209889916747,0.1943131031802578,0.15857074898250434,0.21123785382340515,0.33400133600534404,0.2264108224373125,0.367728175332794,0.0,0.07661074082586379,0.0,0.0,0.34274746366876885,0.26593976464330826,0.33055665741108026,0.23581197924854583,0.20296326364927947,0.0,0.3332777870354941,0.0,0.2220906129700918,0.08673026886383348
simply,0.1219560312637873,0.25908413757367704,0.1057138326550029,0.2640473172792564,0.08350033400133601,0.0,0.0,0.19344230583228553,0.4596644449551827,0.22034925356690352,0.14877631481068215,0.0,0.0,0.1322226629644321,0.07860399308284861,0.0,0.10946907498631638,0.08331944675887352,0.0,0.07403020432336392,0.17346053772766695
barr,0.12554297335978107,0.0,0.15857074898250434,0.0,0.08350033400133601,0.0,0.2941825402662352,0.0,0.0,0.05508731339172588,0.0,0.13709898546750754,0.19945482348248122,0.0,0.07860399308284861,0.135308842432853,0.875752599890531,0.0,0.11319900384876612,0.6662718389102754,0.0
legal,0.13989074174375604,0.0,0.1057138326550029,0.05280946345585129,0.0,0.16980811682798438,0.367728175332794,0.09672115291614276,0.22983222247759136,0.05508731339172588,0.07438815740534108,0.2741979709350151,0.13296988232165413,0.1322226629644321,0.23581197924854583,0.0676544212164265,0.21893814997263275,0.08331944675887352,0.22639800769753224,0.2220906129700918,0.17346053772766695
allowed,0.21880346785561838,0.12954206878683852,0.5285691632750145,0.3168567807351077,0.16700066800267202,0.0,0.2206369051996764,0.09672115291614276,0.07661074082586379,0.11017462678345176,0.2975526296213643,0.0,0.06648494116082707,0.2644453259288642,0.6288319446627889,0.3382721060821325,0.10946907498631638,0.16663889351774705,0.11319900384876612,0.2961208172934557,0.3469210754553339
second,0.26184677300754333,0.25908413757367704,0.3171414979650087,0.6865230249260668,0.33400133600534404,0.0,0.1470912701331176,0.19344230583228553,0.38305370412931894,0.16526194017517767,0.14877631481068215,0.06854949273375377,0.19945482348248122,0.06611133148221605,0.0,1.1501251606792504,0.5473453749315819,0.08331944675887352,0.22639800769753224,0.0,0.17346053772766695
chip,0.017934710479968724,0.0,0.0,0.0,0.08350033400133601,0.0,0.0,0.0,0.0,0.11017462678345176,0.0,0.0,0.0,0.0,0.0,0.0,0.10946907498631638,0.0,0.0,0.07403020432336392,0.0
fake,0.42684610942325557,0.1943131031802578,0.4228553306200116,0.0,0.33400133600534404,0.28301352804664065,0.2941825402662352,0.8704903762452848,0.30644296330345516,0.0,0.07438815740534108,0.13709898546750754,1.3961837643773685,0.06611133148221605,0.23581197924854583,2.638522427440633,0.21893814997263275,0.6665555740709882,0.0,0.2220906129700918,0.17346053772766695
helped,0.1721732206076997,0.06477103439341926,0.05285691632750145,0.15842839036755385,0.250501002004008,0.056602705609328126,0.2206369051996764,0.29016345874842825,0.07661074082586379,0.3856111937420812,0.2231644722160232,0.4112969564025226,0.06648494116082707,0.33055665741108026,0.15720798616569723,0.135308842432853,0.0,0.08331944675887352,0.0,0.3701510216168197,0.0
building,0.0645649577278874,0.06477103439341926,0.05285691632750145,0.21123785382340515,0.08350033400133601,0.056602705609328126,0.0,0.0,0.30644296330345516,0.05508731339172588,0.0,0.0,0.06648494116082707,0.0,0.15720798616569723,0.0676544212164265,0.0,0.08331944675887352,0.0,0.0,0.0
data,0.1721732206076997,0.6477103439341927,0.3171414979650087,0.10561892691170258,0.0,0.11320541121865625,0.1470912701331176,0.0,0.22983222247759136,0.05508731339172588,0.2231644722160232,0.13709898546750754,0.13296988232165413,0.0,0.47162395849709166,0.135308842432853,0.10946907498631638,0.4165972337943676,0.0,0.07403020432336392,0.0
staff,0.1219560312637873,0.0,0.15857074898250434,0.15842839036755385,0.0,0.0,0.0,0.19344230583228553,0.07661074082586379,0.16526194017517767,0.2231644722160232,0.2056484782012613,0.0,0.19833399444664815,0.0,0.135308842432853,0.4378762999452655,0.0,0.11319900384876612,0.4441812259401836,0.0
happened,0.22956429414359963,0.5829393095407733,0.2114276653100058,0.21123785382340515,0.41750167000668004,0.056602705609328126,0.2206369051996764,0.19344230583228553,0.15322148165172758,0.2754365669586294,0.07438815740534108,0.2056484782012613,0.06648494116082707,0.1322226629644321,0.31441597233139446,0.135308842432853,0.3284072249589491,0.16663889351774705,0.0,0.3701510216168197,0.5203816131830009
