words,dem_AdamParkhomenko,dem_amyklobuchar,dem_AmyMcGrathKY,dem_aoc,dem_barackobama,dem_berniesanders,dem_funder,dem_ilhanmn,dem_joebiden,dem_joncoopertweets,dem_kamalaharris,dem_petebuttigieg,dem_rashidatlaib,dem_rbreich,dem_RepSwalwell,dem_senatorcarper,dem_senatorreid,dem_senbobcasey,dem_senschumer,dem_speakerpelosi,merged
have,5.4411898068377615,5.675275538739925,6.272764063132335,5.334974864060737,4.3752734545909115,6.456030519417,4.102747056724938,5.778382053025153,8.2351041498466,4.623559450693534,7.878096817663523,5.274830665947372,5.402777027392079,7.136485280999108,5.200350339391285,5.579600563174636,6.0788149804359985,5.33737850441036,6.2371802921846875,5.4725197128398255,5.877310444131934
be,4.625011335812098,4.852771837473268,4.906920275192229,6.207038062993742,4.312769548096756,6.064755942482637,6.154120585087407,6.0616360752322676,5.759190483879649,5.796701400869505,7.204312221415985,7.073068392974885,6.5373602031444165,3.9880358923230306,6.130939347492884,5.475308963862961,5.030743432084964,5.112646777908871,4.3116078529867305,3.942567965164175,5.465506518828124
not,4.625011335812098,4.935022207599935,3.0352084176446783,5.334974864060737,1.8751171948246765,7.43421696175291,5.262219051016768,5.778382053025153,5.5977178534905,5.175626250776344,3.576241318544625,4.435653060001199,4.916527094926792,4.670199926536181,6.130939347492884,3.963080773843667,5.030743432084964,4.157536940277544,5.609276235924484,2.6479934094386253,4.742748609111231
trump,8.524530697379161,2.6320118440532982,0.0,1.3850415512465375,0.0,2.9345593270077277,17.12450945415626,1.4162701110355767,8.934818881532912,12.766544751914982,3.5244117342178916,2.097944014865432,0.9724998649305744,7.136485280999108,2.901248084081454,2.97231058038275,4.681386249301285,3.0338783077700997,11.804596257691825,3.5895021772390256,4.605480634009962
at,3.0833408905413986,3.5778911005099525,4.3504653986240385,3.026572278649841,5.062816426026627,7.483126283869705,2.675704602211916,4.871969181962384,4.252112600247591,2.3462839003519425,6.530527625168446,3.7762992267577773,3.4577772975309307,2.991026919242273,6.076198817604554,3.5459143765969654,3.2839575181665737,3.8766222821506826,2.6790573067102015,6.0021183947275505,4.202080870447046
will,2.2671624195157345,4.688271097219938,3.5916632942128697,3.1804657843439004,1.8126132883305208,3.472561870292478,6.154120585087407,3.229095853161115,5.974487324398515,5.2446346007866955,2.5396496320099513,5.274830665947372,3.511805067804852,3.043501075720208,4.050799211736369,3.389476977629452,4.8211291224147566,3.5957076240238215,4.730210557160199,6.237495586677651,4.022792086641305
as,3.446086877663916,3.4545155453199543,3.0352084176446783,4.616805170821792,4.500281267579224,2.7878313606573415,3.3000356760613627,4.871969181962384,5.382421012971634,4.278517700641778,3.0061158909505545,5.814301984055625,2.8094440542438814,4.985044865403789,2.955988613969783,3.2330395786619386,3.98267188373393,5.786841957413338,2.386035413788773,8.238201718253501,4.092826767815422
who,4.8970708261539855,4.770521467346603,3.794010522055848,3.949933312814199,4.2502656416026,3.472561870292478,4.816268283981448,3.5123498753682303,4.198288390117876,4.4165344006624805,3.990877993158495,4.915183120541869,3.0795829056134854,4.250406674712704,4.707685570396322,4.015226573499505,3.004471771939631,4.045171077026799,3.558122985474486,2.5891491114511003,3.986374052430764
from,4.080892355128322,3.7012666556999507,4.856333468231485,3.898635477582846,4.2502656416026,2.2498288173725913,2.4973242953977883,4.078857919782461,3.6600462888207113,3.6574425505486166,4.094537161811962,3.2368279086495235,3.8899994597222975,4.617725770058246,3.7223560324063936,4.2759555717786935,4.332029066517608,5.000280914658127,3.9767256896479553,4.589855243026951,3.9471546309732575
all,2.9926543937607692,3.9480177660799476,3.4399028733306354,2.6161895967990154,7.062941433839615,6.113665264599432,3.656796289689618,3.682302288692499,4.090639969858442,3.31240080049686,3.1616046439307555,3.2368279086495235,3.727916148900535,3.6731909534554235,4.81716663017298,4.171663972467018,2.096143096702068,2.5282319231417496,3.181380551718364,4.531010945039426,3.8266949793537757
